,Asl Major Radius,Asl Minor Radius,Asl Ring Width,Cep97 Major Radius,Cep97 Minor Radius,Cep97 Ring Width,Cep97 Eccentricity,Asl Eccentricity,Cep97 Average Radius,Asl Average Radius
count,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
mean,4.01490343147,3.73524237553,1.81041563609,1.76682832301,1.6436485957,1.90942470942,1.07699557499,1.0761401757,1.70523845936,3.8750729035
std,0.211406507653,0.188063858289,0.188179212629,0.255704836743,0.249862746524,0.14145148847,0.0475425098097,0.0571097959507,0.250233611601,0.172105229402
min,3.7250676749,3.33572359348,1.67211795216,1.34907244301,1.27614917529,1.69658386797,1.00393497692,1.01459205411,1.32852807891,3.59404442025
25%,3.87056848265,3.64318823968,1.6850313615,1.58787129958,1.48873756207,1.87886614413,1.05022292823,1.03486840792,1.53914321921,3.74691752241
50%,3.95599511807,3.71419169218,1.76858405027,1.78749964478,1.66099756352,1.91264691733,1.07706299645,1.05464590999,1.72092370877,3.87002879092
75%,4.17299745736,3.82375663208,1.82859445321,1.91634327314,1.838878515,1.93534544348,1.10241243323,1.12632168452,1.87302016381,4.03883073329
max,4.40831069611,4.03481302342,2.34877162415,2.22405332445,2.0692798852,2.2256501775,1.14506295737,1.18470739139,2.14666660483,4.10062401966
